date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:47:59	12564/12564	---M-Z	200	added ('OK')	text/html	etag:W/%225f5a1f74-3114%22	https://milo.bootlab.io/home-threecolumn.html	E:/News/News%20Blog/milo.bootlab.io/home-threecolumn.html	(from )
11:47:59	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f6bc55b-247b%22	https://milo.bootlab.io/robots.txt		(from )
11:47:59	160537/160537	---M-Z	200	added ('OK')	text/css	etag:W/%225f5a1f74-27319%22	https://milo.bootlab.io/css/app.css	E:/News/News%20Blog/milo.bootlab.io/css/app.css	(from https://milo.bootlab.io/home-threecolumn.html)
11:47:59	12839/12839	---M-Z	200	added ('OK')	text/html	etag:W/%225f5a1f74-3227%22	https://milo.bootlab.io/home-onecolumn.html	E:/News/News%20Blog/milo.bootlab.io/home-onecolumn.html	(from https://milo.bootlab.io/home-threecolumn.html)
11:48:00	15027/15027	---M-Z	200	added ('OK')	text/html	etag:W/%225f5a1f74-3ab3%22	https://milo.bootlab.io/home-twocolumn.html	E:/News/News%20Blog/milo.bootlab.io/home-twocolumn.html	(from https://milo.bootlab.io/home-threecolumn.html)
11:48:00	14260/14260	---M-Z	200	added ('OK')	text/html	etag:W/%225f5a1f74-37b4%22	https://milo.bootlab.io/home-fourcolumn.html	E:/News/News%20Blog/milo.bootlab.io/home-fourcolumn.html	(from https://milo.bootlab.io/home-threecolumn.html)
11:48:00	16297/16297	---M-Z	200	added ('OK')	text/html	etag:W/%225f5a1f74-3fa9%22	https://milo.bootlab.io/home-featured.html	E:/News/News%20Blog/milo.bootlab.io/home-featured.html	(from https://milo.bootlab.io/home-threecolumn.html)
11:48:00	15084/15084	---M-Z	200	added ('OK')	text/html	etag:W/%225f5a1f74-3aec%22	https://milo.bootlab.io/home-fullwidth.html	E:/News/News%20Blog/milo.bootlab.io/home-fullwidth.html	(from https://milo.bootlab.io/home-threecolumn.html)
11:48:00	17292/17292	---M-Z	200	added ('OK')	text/html	etag:W/%225f5a1f74-438c%22	https://milo.bootlab.io/post-image.html	E:/News/News%20Blog/milo.bootlab.io/post-image.html	(from https://milo.bootlab.io/home-threecolumn.html)
11:48:01	17456/17456	---M-Z	200	added ('OK')	text/html	etag:W/%225f5a1f74-4430%22	https://milo.bootlab.io/post-video.html	E:/News/News%20Blog/milo.bootlab.io/post-video.html	(from https://milo.bootlab.io/home-threecolumn.html)
